item,itemLabel,itemDescription,gender,genderLabel,dob,dobPrecision,dod,dodPrecision
Q4720351,"Alexander Wedderburn, 1st Earl of Rosslyn",British judge and politician,Q6581097,male,1733-02-24T00:00:00Z,11,1805-01-02T00:00:00Z,11
Q4722296,Alfred Barnes,British politician (1887-1974),Q6581097,male,1887-07-17T00:00:00Z,11,1974-11-26T00:00:00Z,11
Q333591,"Alfred Mond, 1st Baron Melchett",British politician (1868-1930),Q6581097,male,1868-10-23T00:00:00Z,11,1930-12-27T00:00:00Z,11
Q270009,Alistair Burt,British politician (born 1955),Q6581097,male,1955-05-25T00:00:00Z,11,,
Q269124,Alistair Carmichael,British politician (born 1965),Q6581097,male,1965-07-15T00:00:00Z,11,,
Q296639,Alistair Darling,British politician (born 1953),Q6581097,male,1953-11-28T00:00:00Z,11,,
Q30165682,Alister Jack,Scottish politician (born 1963),Q6581097,male,1963-07-07T00:00:00Z,11,,
Q478531,Alok Sharma,British politician (born 1967),Q6581097,male,1967-09-07T00:00:00Z,11,,
Q268030,Alun Cairns,Welsh politician and MP (born 1970),Q6581097,male,1970-07-30T00:00:00Z,11,,
Q336837,"Alun Gwynne Jones, Baron Chalfont",British politician (1919-2020),Q6581097,male,1919-12-05T00:00:00Z,11,2020-01-10T00:00:00Z,11
Q19397,Alun Michael,Welsh politician (born 1943),Q6581097,male,1943-08-22T00:00:00Z,11,,
Q57873,Amama Mbabazi,Ugandan politician,Q6581097,male,1949-01-16T00:00:00Z,11,,
Q20648982,Amanda Milling,"British Conservative Party politician, elected MP for Cannock Chase in 2015",Q6581072,female,1975-03-12T00:00:00Z,11,,
Q479171,Amber Rudd,British politician (born 1963),Q6581072,female,1963-08-01T00:00:00Z,11,,
Q750091,Andrea Leadsom,British politician (born 1963),Q6581072,female,1963-05-13T00:00:00Z,11,,
Q337156,"Andrew Adonis, Baron Adonis","British politician, academic and journalist (born 1963)",Q6581097,male,1963-02-22T00:00:00Z,11,,
Q391058,"Andrew Cavendish, 11th Duke of Devonshire",British politician and duke (1920-2004),Q6581097,male,1920-01-02T00:00:00Z,11,2004-05-03T00:00:00Z,11
Q20011247,Andrew Dunlop,British politician (born 1959),Q6581097,male,1959-06-21T00:00:00Z,11,,
Q333276,Andrew Lansley,British politician (born 1956),Q6581097,male,1956-12-11T00:00:00Z,11,,
Q333261,Andrew Mitchell,British politician (born 1956),Q6581097,male,1956-03-23T00:00:00Z,11,,
Q1844725,"Andrew Murray, 1st Viscount Dunedin",British politician (1849-1942),Q6581097,male,1849-11-21T00:00:00Z,11,1942-08-21T00:00:00Z,11
Q578234,Andrew Murrison,British politician (born 1961),Q6581097,male,1961-04-24T00:00:00Z,11,,
Q501089,Andrew Robathan,British politician (born 1951),Q6581097,male,1951-07-17T00:00:00Z,11,,
Q334296,Andrew Smith,British politician (born 1951),Q6581097,male,1951-02-01T00:00:00Z,11,,
Q269909,Andy Burnham,British politician (born 1970),Q6581097,male,1970-01-07T00:00:00Z,11,,
Q325403,Aneurin Bevan,Welsh politician (1897-1960),Q6581097,male,1897-11-15T00:00:00Z,11,1960-07-06T00:00:00Z,11
Q302763,Angela Eagle,British politician; Labour MP for Wallasey (born 1961),Q6581072,female,1961-02-17T00:00:00Z,11,,
Q332890,Angus Maude,British politician (1912-1993),Q6581097,male,1912-09-08T00:00:00Z,11,1993-11-09T00:00:00Z,11
Q332843,"Ann Taylor, Baroness Taylor of Bolton",British Labour Party politician (born 1947),Q6581072,female,1947-07-02T00:00:00Z,11,,
Q389855,Anna Soubry,British politician (born 1956),Q6581072,female,1956-12-07T00:00:00Z,11,,
Q544742,Annabel Goldie,British politician (born 1950),Q6581072,female,1950-02-27T00:00:00Z,11,,
Q580784,Anne Milton,British politician (born 1955),Q6581072,female,1955-11-03T00:00:00Z,11,,
Q20648244,Anne-Marie Trevelyan,British politician (born 1969),Q6581072,female,1969-04-06T00:00:00Z,11,,
Q336002,"Anthony Ashley Cooper, 1st Earl of Shaftesbury",English politician and founder of the Whig party (1621-1683),Q6581097,male,1621-07-22T00:00:00Z,11,1683-01-21T00:00:00Z,11
Q333193,Anthony Barber,British politician (1920-2005),Q6581097,male,1920-07-04T00:00:00Z,11,2005-12-16T00:00:00Z,11
Q301252,Anthony Crosland,British politician (1918–1977),Q6581097,male,1918-08-29T00:00:00Z,11,1977-02-19T00:00:00Z,11
Q128995,Anthony Eden,former Prime Minister of the United Kingdom (1897-1977),Q6581097,male,1897-06-12T00:00:00Z,11,1977-01-14T00:00:00Z,11
Q333766,"Antony Head, 1st Viscount Head","British soldier, Conservative politician and diplomat (1906-1983)",Q6581097,male,1906-12-19T00:00:00Z,11,1983-03-29T00:00:00Z,11
Q244620,"Archibald Primrose, 5th Earl of Rosebery",British politician (1847-1929),Q6581097,male,1847-05-07T00:00:00Z,11,1929-05-21T00:00:00Z,11
Q4786520,"Archibald Sinclair, 1st Viscount Thurso",British politician (1890-1970),Q6581097,male,1890-10-22T00:00:00Z,11,1970-06-15T00:00:00Z,11
Q332870,"Archie Hamilton, Baron Hamilton of Epsom",British politician (born 1941),Q6581097,male,1941-12-30T00:00:00Z,11,,
Q13426124,"Aretas Akers-Douglas, 1st Viscount Chilston",British politician,Q6581097,male,1851-10-21T00:00:00Z,11,1926-01-15T00:00:00Z,11
Q708421,"Arthur Annesley, 1st Earl of Anglesey",Anglo-Irish royalist statesman who served as Lord Privy Seal 1673–1682,Q6581097,male,1614-07-10T00:00:00Z,11,1686-04-06T00:00:00Z,11
Q19008,Arthur Balfour,"British Prime Minister, Conservative politician, and statesman (1848-1930)",Q6581097,male,1848-07-25T00:00:00Z,11,1930-03-19T00:00:00Z,11
Q336598,"Arthur Cockfield, Baron Cockfield",British politician (1916-2007),Q6581097,male,1916-09-28T00:00:00Z,11,2007-01-08T00:00:00Z,11
Q333174,Arthur Greenwood,British politician (1880-1954),Q6581097,male,1880-02-08T00:00:00Z,11,1954-06-09T00:00:00Z,11
Q4798898,Arthur Griffith-Boscawen,British politician (1865-1946),Q6581097,male,1865-10-18T00:00:00Z,11,1946-06-01T00:00:00Z,11
Q208665,Arthur Henderson,British politician (1863-1935),Q6581097,male,1863-09-13T00:00:00Z,11,1935-10-20T00:00:00Z,11
Q336479,"Arthur Ponsonby, 1st Baron Ponsonby of Shulbrede",British Liberal and later Labour politician and pacifist (1871-1946),Q6581097,male,1871-02-16T00:00:00Z,11,1946-03-23T00:00:00Z,11
Q4800220,"Arthur Salter, 1st Baron Salter",British politician and academic (1881-1975),Q6581097,male,1881-03-15T00:00:00Z,11,1975-06-27T00:00:00Z,11
Q131691,"Arthur Wellesley, 1st Duke of Wellington","Anglo-Irish soldier and general, British Prime Minister, and Tory statesman (1769-1852)",Q6581097,male,1769-05-01T00:00:00Z,11,1852-09-14T00:00:00Z,11
Q4800743,Arthur Woodburn,British politician (1890-1978),Q6581097,male,1890-10-25T00:00:00Z,11,1978-06-01T00:00:00Z,11
Q337671,"Auckland Geddes, 1st Baron Geddes",British politician (1879-1954),Q6581097,male,1879-06-21T00:00:00Z,11,1954-06-08T00:00:00Z,11
Q333216,Augustine Birrell,British politician (1850-1933),Q6581097,male,1850-01-19T00:00:00Z,11,1933-11-20T00:00:00Z,11
Q312583,"Augustus FitzRoy, 3rd Duke of Grafton",British noble (1735-1811),Q6581097,male,1735-09-28T00:00:00Z,11,1811-03-14T00:00:00Z,11
Q188999,Austen Chamberlain,British politician (1863-1937),Q6581097,male,1863-10-16T00:00:00Z,11,1937-03-16T00:00:00Z,11
Q2883936,"Barbara Castle, Baroness Castle of Blackburn",British politician (1910–2002),Q6581072,female,1910-10-06T00:00:00Z,11,2002-05-03T00:00:00Z,11
Q660827,Barbara Follett,British politician (born 1942),Q6581072,female,1942-12-25T00:00:00Z,11,,
Q4859256,Barbara Roche,British politician (born 1954),Q6581072,female,1954-04-13T00:00:00Z,11,,
Q264618,Ben Bradshaw,British politician (born 1960),Q6581097,male,1960-08-30T00:00:00Z,11,,
Q392174,Ben Gummer,British politician,Q6581097,male,1978-02-19T00:00:00Z,11,,
Q4886592,Ben Turner,UK Member of Parliament,Q6581097,male,1863-01-01T00:00:00Z,9,1942-01-01T00:00:00Z,9
Q4886592,Ben Turner,UK Member of Parliament,Q6581097,male,1863-01-01T00:00:00Z,9,1942-09-30T00:00:00Z,11
Q263166,Ben Wallace,British politician (born 1970),Q6581097,male,1970-05-15T00:00:00Z,11,,
Q82006,Benjamin Disraeli,"British politician, writer, aristocrat and Prime Minister (1804–1881)",Q6581097,male,1804-12-21T00:00:00Z,11,1881-04-19T00:00:00Z,11
Q2568971,"Benjamin Hall, 1st Baron Llanover",British politician,Q6581097,male,1802-11-08T00:00:00Z,11,1867-04-27T00:00:00Z,11
Q727852,Bernard Jenkin,British politician (born 1959),Q6581097,male,1959-04-09T00:00:00Z,11,,
Q775059,Beverley Hughes,British politician (born 1950),Q6581072,female,1950-03-30T00:00:00Z,11,,
Q269449,Bill Cash,British politician (born 1940),Q6581097,male,1940-05-10T00:00:00Z,11,,
Q767696,Bill Rammell,British politician (born 1959),Q6581097,male,1959-10-10T00:00:00Z,11,,
Q258738,Bob Ainsworth,British politician (born 1952),Q6581097,male,1952-06-19T00:00:00Z,11,,
Q166663,Bonar Law,former Prime Minister of the United Kingdom (1858-1923),Q6581097,male,1858-09-16T00:00:00Z,11,1923-10-30T00:00:00Z,11
Q180589,Boris Johnson,Prime Minister of the United Kingdom since 2019,Q6581097,male,1964-06-19T00:00:00Z,11,,
Q749687,Brandon Lewis,British politician (born 1971),Q6581097,male,1971-06-20T00:00:00Z,11,,
Q333410,"Brian Mawhinney, Baron Mawhinney",British politician (1940-2019),Q6581097,male,1940-07-26T00:00:00Z,11,2019-11-09T00:00:00Z,11
Q338231,Brian Wilson,Labour politician in the United Kingdom (born 1948),Q6581097,male,1948-12-13T00:00:00Z,11,,
Q333293,Bruce Millan,British politician (1927–2013),Q6581097,male,1927-10-05T00:00:00Z,11,2013-02-21T00:00:00Z,11
Q251095,Caroline Flint,British politician (born 1961),Q6581072,female,1961-09-20T00:00:00Z,11,,
Q332954,Caroline Spelman,British politician (born 1958),Q6581072,female,1958-05-04T00:00:00Z,11,,
Q105667,Catherine Ashton,British politician (born 1956),Q6581072,female,1956-03-20T00:00:00Z,11,,
Q327810,Cecil Parkinson,British politician (1931-2016),Q6581097,male,1931-09-01T00:00:00Z,11,2016-01-22T00:00:00Z,11
Q338354,"Charles Adderley, 1st Baron Norton",politician (1814-1905),Q6581097,male,1814-08-02T00:00:00Z,11,1905-03-28T00:00:00Z,11
Q5075174,Charles Arbuthnot,British politician,Q6581097,male,1767-03-14T00:00:00Z,11,1850-08-18T00:00:00Z,11
Q5075471,Charles Bathurst,British politician (1754–1831),Q6581097,male,1754-01-01T00:00:00Z,9,1831-08-13T00:00:00Z,11
Q337635,"Charles Brandon, 1st Duke of Suffolk",English diplomat,Q6581097,male,1484-01-01T00:00:00Z,9,1545-09-03T00:00:00Z,11
Q333758,Charles Clarke,British Labour Party politician (born 1950),Q6581097,male,1950-09-21T00:00:00Z,11,,
Q337704,"Charles Cripps, 1st Baron Parmoor",British barrister and politician (1852-1941),Q6581097,male,1852-10-03T00:00:00Z,11,1941-06-30T00:00:00Z,11
Q337117,"Charles Falconer, Baron Falconer of Thoroton","British politician, peer and barrister (born 1951)",Q6581097,male,1951-11-19T00:00:00Z,11,,
Q333488,"Charles Gordon-Lennox, 6th Duke of Richmond",British politician (1818-1903),Q6581097,male,1818-02-27T00:00:00Z,11,1903-09-27T00:00:00Z,11
Q294662,"Charles Grey, 2nd Earl Grey",Prime Minister of the United Kingdom of Great Britain and Ireland (1764-1845),Q6581097,male,1764-03-13T00:00:00Z,11,1845-07-17T00:00:00Z,11
Q333392,"Charles Hill, Baron Hill of Luton",British politician (1904-1989),Q6581097,male,1904-01-15T00:00:00Z,11,1989-08-22T00:00:00Z,11
Q438131,Charles James Fox,British Whig statesman,Q6581097,male,1749-01-24T00:00:00Z,11,1806-09-13T00:00:00Z,11
Q2654558,"Charles Jenkinson, 1st Earl of Liverpool",British politician,Q6581097,male,1727-04-26T00:00:00Z,11,1808-12-17T00:00:00Z,11
Q961831,"Charles Manners, 4th Duke of Rutland",British nobleman and Pittite politician (1754-1787),Q6581097,male,1754-03-15T00:00:00Z,11,1787-10-24T00:00:00Z,11
Q2898523,Charles Masterman,British politician (1873-1927),Q6581097,male,1873-10-24T00:00:00Z,11,1927-11-17T00:00:00Z,11
Q333772,"Charles Montagu, 1st Earl of Halifax",English politician and noble (1661-1715),Q6581097,male,1661-04-16T00:00:00Z,11,1715-05-19T00:00:00Z,11
Q4670298,"Charles Pepys, 1st Earl of Cottenham",British politician  (1781-1851),Q6581097,male,1781-04-29T00:00:00Z,11,1851-04-29T00:00:00Z,11
Q5081631,Charles Philip Yorke,Lord of the Admiralty,Q6581097,male,1764-03-12T00:00:00Z,11,1834-03-13T00:00:00Z,11
Q4376484,"Charles Pratt, 1st Earl Camden","English lawyer, judge and Whig politician",Q6581097,male,1714-03-21T00:00:00Z,11,1794-04-18T00:00:00Z,11
Q669029,"Charles Ritchie, 1st Baron Ritchie of Dundee",British politician (1838-1906),Q6581097,male,1838-11-19T00:00:00Z,11,1906-01-09T00:00:00Z,11
Q334027,"Charles Russell, Baron Russell of Killowen",Irish politician (1832-1900),Q6581097,male,1832-11-10T00:00:00Z,11,1900-08-10T00:00:00Z,11
Q1066062,"Charles Seymour, 6th Duke of Somerset",English noble (1662–1748),Q6581097,male,1662-08-23T00:00:00Z,11,1748-12-13T00:00:00Z,11
Q514460,"Charles Spencer, 3rd Duke of Marlborough",British Army general (1706-1758),Q6581097,male,1706-11-22T00:00:00Z,11,1758-10-20T00:00:00Z,11
Q332619,"Charles Spencer, 3rd Earl of Sunderland",English statesman and nobleman from the Spencer family (1675-1722),Q6581097,male,1675-04-23T00:00:00Z,11,1722-04-19T00:00:00Z,11
Q290107,"Charles Spencer-Churchill, 9th Duke of Marlborough",British soldier and Conservative politician (1871-1934),Q6581097,male,1871-11-13T00:00:00Z,11,1934-06-30T00:00:00Z,11
Q5082846,"Charles Talbot, 1st Baron Talbot",British politician,Q6581097,male,1685-12-21T00:00:00Z,11,1737-02-14T00:00:00Z,11
Q2600750,Charles Townshend,British politician,Q6581097,male,1725-08-29T00:00:00Z,11,1767-09-02T00:00:00Z,11
Q2600750,Charles Townshend,British politician,Q6581097,male,1725-08-29T00:00:00Z,11,1767-09-04T00:00:00Z,11
Q336529,"Charles Townshend, 2nd Viscount Townshend",British Whig statesman (1674-1738),Q6581097,male,1674-04-18T00:00:00Z,11,1738-06-21T00:00:00Z,11
Q5083121,"Charles Vane-Tempest-Stewart, 6th Marquess of Londonderry",British politician,Q6581097,male,1852-07-16T00:00:00Z,11,1915-02-08T00:00:00Z,11
Q333368,"Charles Vane-Tempest-Stewart, 7th Marquess of Londonderry",British politician (1878-1949),Q6581097,male,1878-05-13T00:00:00Z,11,1949-02-10T00:00:00Z,11
Q378043,"Charles Watson-Wentworth, 2nd Marquess of Rockingham",British Prime Minister (1730-1782),Q6581097,male,1730-05-13T00:00:00Z,11,1782-07-01T00:00:00Z,11
Q213150,Charles Williams-Wynn,British politician (1775-1850),Q6581097,male,1775-10-09T00:00:00Z,11,1850-09-02T00:00:00Z,11
Q333354,"Charles Wood, 1st Viscount Halifax",British politician (1800-1885),Q6581097,male,1800-12-20T00:00:00Z,11,1885-08-08T00:00:00Z,11
Q337680,"Charles Wyndham, 2nd Earl of Egremont",British politician and earl (1710-1763),Q6581097,male,1710-08-19T00:00:00Z,11,1763-08-21T00:00:00Z,11
Q5083769,Charles Yorke,British politician and Lord Chancellor,Q6581097,male,1722-12-30T00:00:00Z,11,1770-01-20T00:00:00Z,11
Q5083776,"Charles Yorke, 4th Earl of Hardwicke",British Royal Navy admiral (1799-1873),Q6581097,male,1799-04-02T00:00:00Z,11,1873-09-17T00:00:00Z,11
Q333852,Cheryl Gillan,British politician (1952-2021),Q6581072,female,1952-04-21T00:00:00Z,11,2021-04-04T00:00:00Z,11
Q333680,Chloe Smith,British politician (born 1982),Q6581072,female,1982-05-17T00:00:00Z,11,,
Q266146,Chris Bryant,Welsh politician and MP (born 1962),Q6581097,male,1962-01-11T00:00:00Z,11,,
Q337453,Chris Grayling,British politician (born 1962),Q6581097,male,1962-04-01T00:00:00Z,11,,
Q673322,Chris Heaton-Harris,British politician (born 1967),Q6581097,male,1967-11-28T00:00:00Z,11,,
Q332540,Chris Huhne,British politician (born 1954),Q6581097,male,1954-07-02T00:00:00Z,11,,
Q5107475,Chris Mole,British politician (born 1958),Q6581097,male,1958-03-16T00:00:00Z,11,,
Q23368,Chris Patten,British politician and colonial administrator (born 1944),Q6581097,male,1944-05-12T00:00:00Z,11,,
Q333264,"Chris Smith, Baron Smith of Finsbury",British life peer and former Cabinet minister (1997–2001),Q6581097,male,1951-07-24T00:00:00Z,11,,
Q334088,"Christopher Addison, 1st Viscount Addison",British politician (1869-1951),Q6581097,male,1869-06-19T00:00:00Z,11,1951-12-11T00:00:00Z,11
Q333431,Christopher Chataway,British runner and politician (1931-2014),Q6581097,male,1931-01-31T00:00:00Z,11,2014-01-19T00:00:00Z,11
Q336050,Christopher Soames,British politician (1920–1987),Q6581097,male,1920-10-12T00:00:00Z,11,1987-09-16T00:00:00Z,11
Q333550,Clare Short,British politician (born 1946),Q6581072,female,1946-02-15T00:00:00Z,11,,
Q333652,"Cledwyn Hughes, Baron Cledwyn of Penrhos",British politician (1916-2001),Q6581097,male,1916-09-14T00:00:00Z,11,2001-02-22T00:00:00Z,11
Q129006,Clement Attlee,former Prime Minister of the United Kingdom (1883-1967),Q6581097,male,1883-01-03T00:00:00Z,11,1967-10-08T00:00:00Z,11
Q129679,"Colin Moynihan, 4th Baron Moynihan",British politician and rower (born 1955),Q6581097,male,1955-09-13T00:00:00Z,11,,
Q338153,"Constantine Phipps, 1st Marquess of Normanby",British Whig politician and author (1797-1863),Q6581097,male,1797-05-15T00:00:00Z,11,1863-07-28T00:00:00Z,11
Q391960,Damian Green,British politician (born 1956),Q6581097,male,1956-01-17T00:00:00Z,11,,
Q676947,Damian Hinds,British politician (born 1969),Q6581097,male,1969-11-27T00:00:00Z,11,,
Q2619683,"Daniel Finch, 2nd Earl of Nottingham",English politician and noble,Q6581097,male,1647-07-02T00:00:00Z,11,1730-01-01T00:00:00Z,11
Q259082,Danny Alexander,British politician (born 1972),Q6581097,male,1972-05-15T00:00:00Z,11,,
Q264196,David Blunkett,British politician,Q6581097,male,1947-06-06T00:00:00Z,11,,
Q192,David Cameron,former prime minister of the United Kingdom (born 1966),Q6581097,male,1966-10-09T00:00:00Z,11,,
Q333397,"David Clark, Baron Clark of Windermere",British politician (born 1939),Q6581097,male,1939-10-19T00:00:00Z,11,,
Q338176,David Curry,British politician (born 1944),Q6581097,male,1944-06-13T00:00:00Z,11,,
Q300023,David Davis,British Conservative Party politician and former businessman (born 1948),Q6581097,male,1948-12-23T00:00:00Z,11,,
Q332914,"David Eccles, 1st Viscount Eccles",British politician (1904-1999),Q6581097,male,1904-09-18T00:00:00Z,11,1999-02-24T00:00:00Z,11
Q5233398,"David Ennals, Baron Ennals",British politician and campaigner for human rights (1922-1995),Q6581097,male,1922-08-19T00:00:00Z,11,1995-06-17T00:00:00Z,11
Q5233879,David Frost,British diplomat,Q6581097,male,1965-02-21T00:00:00Z,11,,
Q391256,David Gauke,British lawyer and former politician,Q6581097,male,1971-10-08T00:00:00Z,11,,
Q5234398,David Grenfell,Welsh politician (1881-1968),Q6581097,male,1881-06-16T00:00:00Z,11,1968-11-21T00:00:00Z,11
Q478248,David Hanson,Welsh politician and MP (born 1957),Q6581097,male,1957-07-05T00:00:00Z,11,,
Q333039,David Heathcoat-Amory,British politician (born 1949),Q6581097,male,1949-03-21T00:00:00Z,11,,
Q333046,"David Howell, Baron Howell of Guildford",British politician (born 1936),Q6581097,male,1936-01-18T00:00:00Z,11,,
Q333909,"David Hunt, Baron Hunt of Wirral",British politician (born 1942),Q6581097,male,1942-05-21T00:00:00Z,11,,
Q337047,David James George Hennessy,British politician (1932-2010),Q6581097,male,1932-01-28T00:00:00Z,11,2010-12-21T00:00:00Z,11
Q728167,David Jones,Welsh politician and MP (born 1952),Q6581097,male,1952-03-22T00:00:00Z,11,,
Q534727,David Lammy,British politician (born 1972),Q6581097,male,1972-07-19T00:00:00Z,11,,
Q333663,David Laws,British politician (born 1965),Q6581097,male,1965-11-30T00:00:00Z,11,,
Q748837,David Lidington,British politician (born 1956),Q6581097,male,1956-06-30T00:00:00Z,11,,
Q3703236,"David Lindsay, 27th Earl of Crawford",British politician (1871-1940),Q6581097,male,1871-10-10T00:00:00Z,11,1940-03-08T00:00:00Z,11
Q134982,David Lloyd George,British politician and Prime Minister (1863–1945),Q6581097,male,1863-01-17T00:00:00Z,11,1945-03-26T00:00:00Z,11
Q1175443,David Maclean,United Kingdom Conservative Party politician (born 1953),Q6581097,male,1953-05-16T00:00:00Z,11,,
Q334337,"David Maxwell Fyfe, 1st Earl of Kilmuir",British politician (1900-1967),Q6581097,male,1900-05-29T00:00:00Z,11,1967-01-27T00:00:00Z,11
Q333537,David Mellor,"former British politician, non-practising barrister, broadcaster, journalist and businessman (born 1949)",Q6581097,male,1949-03-12T00:00:00Z,11,,
Q272670,David Miliband,British politician (born 1965),Q6581097,male,1965-07-15T00:00:00Z,11,,
Q333520,David Mundell,"Scottish solicitor, Conservative politician and UK Government Minister (born 1962)",Q6581097,male,1962-05-27T00:00:00Z,11,,
Q1968514,"David Murray, 2nd Earl of Mansfield",British politician (1727-1796),Q6581097,male,1727-10-09T00:00:00Z,11,1796-09-01T00:00:00Z,11
Q333085,David Owen,British politician (born 1938),Q6581097,male,1938-07-02T00:00:00Z,11,,
Q334565,"David Waddington, Baron Waddington",British politician (1929-2017),Q6581097,male,1929-08-02T00:00:00Z,11,2017-02-23T00:00:00Z,11
Q266064,David Willetts,British politician (born 1956),Q6581097,male,1956-03-09T00:00:00Z,11,,
Q336171,"David Young, Baron Young of Graffham",British Baron (born 1932),Q6581097,male,1932-02-27T00:00:00Z,11,,
Q575217,Dawn Primarolo,British politician (born 1954),Q6581072,female,1954-05-02T00:00:00Z,11,,
Q332360,Denis Healey,British politician,Q6581097,male,1917-08-30T00:00:00Z,11,2015-10-03T00:00:00Z,11
Q695061,Denis MacShane,British politician (born 1948),Q6581097,male,1948-05-21T00:00:00Z,11,,
Q5259036,"Dennis Vosper, Baron Runcorn",British politician (1916-1968),Q6581097,male,1916-01-02T00:00:00Z,11,1968-01-20T00:00:00Z,11
Q5261951,Derek Fatchett,British politician (1945-1999),Q6581097,male,1945-08-22T00:00:00Z,11,1999-05-09T00:00:00Z,11
Q5262429,"Derek Walker-Smith, Baron Broxbourne",British politician (1910-1992),Q6581097,male,1910-04-13T00:00:00Z,11,1992-01-22T00:00:00Z,11
Q334287,"Derick Heathcoat-Amory, 1st Viscount Amory",politician and British Government Minister (1899-1981),Q6581097,male,1899-12-26T00:00:00Z,11,1981-01-20T00:00:00Z,11
Q337121,"Derry Irvine, Baron Irvine of Lairg",Scottish baron (born 1940),Q6581097,male,1940-06-23T00:00:00Z,11,,
Q332587,"Des Browne, Baron Browne of Ladyton",British politician (born 1952),Q6581097,male,1952-03-22T00:00:00Z,11,,
Q333706,Dick Taverne,English barrister; Liberal Democrat life peer (born 1928),Q6581097,male,1928-10-18T00:00:00Z,11,,
Q24039,Digby Jones,British businessman and politician (born 1955),Q6581097,male,1955-10-28T00:00:00Z,11,,
Q332994,Dominic Grieve,British politician (born 1956),Q6581097,male,1956-05-24T00:00:00Z,11,,
Q268584,Dominic Raab,British politician (born 1974),Q6581097,male,1974-02-25T00:00:00Z,11,,
Q333158,Donald Dewar,"Scottish politician, 1st First Minister of Scotland (in office from 1999 to 2000)",Q6581097,male,1937-08-21T00:00:00Z,11,2000-10-11T00:00:00Z,11
Q5294786,Donald Maclean,British politician (1864-1932),Q6581097,male,1864-01-09T00:00:00Z,11,1932-06-15T00:00:00Z,11
Q3737152,"Donald Somervell, Baron Somervell of Harrow",British politician (1889-1960),Q6581097,male,1889-08-24T00:00:00Z,11,1960-11-18T00:00:00Z,11
Q5300550,Doug Henderson,British politician (born 1949),Q6581097,male,1949-06-09T00:00:00Z,11,,
Q259106,Douglas Alexander,British politician (born 1967),Q6581097,male,1967-10-26T00:00:00Z,11,,
Q333964,Douglas Hogg,British politician and barrister (born 1945),Q6581097,male,1945-02-05T00:00:00Z,11,,
Q332706,"Douglas Hogg, 1st Viscount Hailsham",British politician (1872-1950),Q6581097,male,1872-02-28T00:00:00Z,11,1950-08-16T00:00:00Z,11
Q5301612,"Douglas Houghton, Baron Houghton of Sowerby",British politician (1898-1996),Q6581097,male,1898-08-11T00:00:00Z,11,1996-05-02T00:00:00Z,11
Q337375,Douglas Hurd,British Conservative politician and novelist (born 1930),Q6581097,male,1930-03-08T00:00:00Z,11,,
Q5301689,Douglas King,Royal Navy officer,Q6581097,male,1877-06-01T00:00:00Z,11,1930-08-20T00:00:00Z,11
Q333011,"Dudley Ryder, 1st Earl of Harrowby",British politician (1762-1847),Q6581097,male,1762-12-22T00:00:00Z,11,1847-12-26T00:00:00Z,11
Q5311965,"Dudley Ryder, 2nd Earl of Harrowby",British politician,Q6581097,male,1798-05-19T00:00:00Z,11,1882-11-19T00:00:00Z,11
Q5311966,"Dudley Ryder, 3rd Earl of Harrowby",British politician,Q6581097,male,1831-01-16T00:00:00Z,11,1900-03-26T00:00:00Z,11
Q335324,Duff Cooper,"British Conservative Party politician, diplomat and author (1890-1954)",Q6581097,male,1890-02-22T00:00:00Z,11,1954-01-01T00:00:00Z,11
Q203129,Duncan Sandys,British politician (1908-1987),Q6581097,male,1908-01-24T00:00:00Z,11,1987-11-26T00:00:00Z,11
